City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Port Blair,IN,80.29,overcast clouds,11.6667,92.75,
307,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,
309,Bajos De Haina,DO,89.53,scattered clouds,18.4154,-70.0332,
312,Chandbali,IN,76.41,heavy intensity rain,20.7833,86.7667,
316,Machali,CL,72.68,clear sky,-34.1833,-70.6667,
318,Buala,SB,80.58,broken clouds,-8.145,159.5921,
323,Namatanai,PG,79.99,overcast clouds,-3.6667,152.4333,
324,Ixtapa,MX,88.83,clear sky,20.7,-105.2,
326,Cilegon,ID,78.69,overcast clouds,-6.0174,106.0538,
327,Senador Jose Porfirio,BR,88.47,broken clouds,-2.5908,-51.9542,
331,Estelle,US,75.99,clear sky,29.8458,-90.1067,
332,Marrakesh,MA,82.47,clear sky,31.6315,-8.0083,
334,Saint-Georges,GD,84.58,few clouds,12.0564,-61.7485,
